Name,Slug,Collection ID,Item ID,Created On,Updated On,Published On,Description,Short Description,Main Image,Featured?,Type,Session Start,Session End,Presenter,Date,Discord Discussion Link
Alternative Collective Futures for the Internet,alternative-collective-futures-for-the-internet,63d1cb65192f1d47f0a41cd6,64470ac34255721446966593,Mon Apr 24 2023 23:03:31 GMT+0000 (Coordinated Universal Time),Tue May 23 2023 18:07:54 GMT+0000 (Coordinated Universal Time),Tue May 23 2023 18:08:03 GMT+0000 (Coordinated Universal Time),"<p id="""">Verses is a collective re-imagining the future of the web with participatory software artifacts. Its governance is experimental. This talk is about its work, and how experimentation in organizational structures is essential for the pluriversal world we dream of — different structures allow for different forms of creation (e.g. commons-based peer production). Participants will have a chance to share experiments they’ve conducted or witnessed.</p><p>‍</p><h4>Watch the full talk below:</h4><figure class=""w-richtext-figure-type-video w-richtext-align-fullwidth"" style=""padding-bottom:56.206088992974244%"" data-rt-type=""video"" data-rt-align=""fullwidth"" data-rt-max-width="""" data-rt-max-height=""56.206088992974244%"" data-rt-dimensions=""854:480"" data-page-url=""https://www.youtube.com/watch?v=foFzZ6VJ34w""><div><iframe allowfullscreen=""true"" frameborder=""0"" scrolling=""no"" src=""https://www.youtube.com/embed/foFzZ6VJ34w"" title=""Alternative Collective Futures For The Internet - Jasmine Wang""></iframe></div></figure>","Verses is a collective re-imagining the future of the web with participatory software artifacts. Its governance is experimental. This talk is about its work, and how experimentation in organizational structures is essential for the pluriversal world we dream of — different structures allow for different forms of creation (e.g. commons-based peer production). Participants will have a chance to share experiments they’ve conducted or witnessed.",,true,Talk,Tue Apr 25 2023 21:15:00 GMT+0000 (Coordinated Universal Time),Tue Apr 25 2023 21:30:00 GMT+0000 (Coordinated Universal Time),jasmine-wang,25th,https://discord.com/channels/1073278385750552596/1100384961762168903
Building humane user interfaces with language models,building-humane-user-interfaces-with-language-models,63d1cb65192f1d47f0a41cd6,6400973c7efc0c3937bcd37f,Thu Mar 02 2023 12:31:56 GMT+0000 (Coordinated Universal Time),Tue May 23 2023 20:00:58 GMT+0000 (Coordinated Universal Time),Tue May 23 2023 20:05:39 GMT+0000 (Coordinated Universal Time),"<p id="""">Large language models like ChatGPT have hit the mainstream, but most applications of today follow the same format: a text box. That's because we're currently in the ""MS DOS"" stage of interfaces for machine learning – creating interfaces which conform to the shape of the system, not the shape of the human on the other end. This talk explores how AI might help us radically re-think our interaction with computers from the ground up, as the GUI did to command-line computing.</p><p>‍</p><h4>Watch the full talk below:</h4><figure class=""w-richtext-figure-type-video w-richtext-align-fullwidth"" style=""padding-bottom:56.206088992974244%"" data-rt-type=""video"" data-rt-align=""fullwidth"" data-rt-max-width="""" data-rt-max-height=""56.206088992974244%"" data-rt-dimensions=""854:480"" data-page-url=""https://youtu.be/kqFNjIBdXAc""><div><iframe allowfullscreen=""true"" frameborder=""0"" scrolling=""no"" src=""https://www.youtube.com/embed/kqFNjIBdXAc"" title=""Building Humane User Interfaces With Language Models - Rupert Parry""></iframe></div></figure>","Large language models like ChatGPT have hit the mainstream, but most applications of today follow the same format: a text box. That's because we're currently in the ""MS DOS"" stage of interfaces for machine learning – creating interfaces which conform to the shape of the system, not the shape of the human on the other end. This talk explores how AI might help us radically re-think our interaction with computers from the ground up, as the GUI did to command-line computing.",,true,Talk,Tue Apr 25 2023 22:10:00 GMT+0000 (Coordinated Universal Time),Tue Apr 25 2023 22:40:00 GMT+0000 (Coordinated Universal Time),rupert-parry,25th,https://discord.com/channels/1073278385750552596/1088917017861558294
Condemned to Compute: How witnessing the last 20 years of computing tells me we’re going to be punished with at least another 20,condemned-to-compute-how-witnessing-the-last-20-years-of-computing-tells-me-were-going-to-be-punished-with-at-least-another-20,63d1cb65192f1d47f0a41cd6,640096b87fd7b29d327882f1,Thu Mar 02 2023 12:29:44 GMT+0000 (Coordinated Universal Time),Tue May 23 2023 20:01:32 GMT+0000 (Coordinated Universal Time),Tue May 23 2023 20:05:39 GMT+0000 (Coordinated Universal Time),"<p id="""">A father once misquoted a philosopher in telling his daughter that if she didn’t study history then she would be doomed to relive it; if we've learned anything about the tech industry, it's that we end up reliving it anyway. Join me, daughter of a mis-quoting father, as I go through the last 20 years of my computing career and envision the next 20 years through the framework of non-computing trend cycles and a universal agreement that everything I predict will come true.</p><p>‍</p><h4>Watch the full talk below:</h4><figure class=""w-richtext-figure-type-video w-richtext-align-fullwidth"" style=""padding-bottom:56.206088992974244%"" data-rt-type=""video"" data-rt-align=""fullwidth"" data-rt-max-width="""" data-rt-max-height=""56.206088992974244%"" data-rt-dimensions=""854:480"" data-page-url=""https://youtu.be/OfHQbdqeadk""><div><iframe allowfullscreen=""true"" frameborder=""0"" scrolling=""no"" src=""https://www.youtube.com/embed/OfHQbdqeadk"" title=""Condemned to Compute - Jenn Schiffer""></iframe></div></figure>","A father once misquoted a philosopher in telling his daughter that if she didn’t study history then she would be doomed to relive it; if we've learned anything about the tech industry, it's that we end up reliving it anyway. Join me, daughter of a mis-quoting father, as I go through the last 20 years of my computing career and envision the next 20 years through the framework of non-computing trend cycles and a universal agreement that everything I predict will come true.",,true,Talk,Wed Apr 26 2023 23:30:00 GMT+0000 (Coordinated Universal Time),Thu Apr 27 2023 00:30:00 GMT+0000 (Coordinated Universal Time),jenn-schiffer,26th,https://discord.com/channels/1073278385750552596/1089957110172876830
Crossing the river by feeling the stones,crossing-the-river-by-feeling-the-stones,63d1cb65192f1d47f0a41cd6,6411bf224f4a622dc390b8aa,Wed Mar 15 2023 12:50:42 GMT+0000 (Coordinated Universal Time),Tue May 23 2023 19:53:45 GMT+0000 (Coordinated Universal Time),Tue May 23 2023 20:05:39 GMT+0000 (Coordinated Universal Time),"<p id="""">We live in a competitive world. That competition forces change. It has always forced change. Change is normal. The question is not whether our organizations will change, that’s a given, but can we see this change before it hits us, do we know where we’re heading or are we simply floating aimlessly being carried by a river? It certainly feels that way sometimes.</p><p id="""">‍</p><p id="""">To answer the question we need to understand our landscape, the economic forces at play, the context we operate within and our situational awareness of this. Can we navigate the waters, can we see a storm coming or are we being battered by rocks because we refuse to look?</p><p id="""">‍</p><p id="""">During this talk we will examine the level of situational awareness within business and why it matters. We will focus in on the transformation in the IT industry, the rise of serverless and the future of conversational programming.</p><p>‍</p><h4>Watch the full talk below:</h4><figure class=""w-richtext-figure-type-video w-richtext-align-fullwidth"" style=""padding-bottom:56.206088992974244%"" data-rt-type=""video"" data-rt-align=""fullwidth"" data-rt-max-width="""" data-rt-max-height=""56.206088992974244%"" data-rt-dimensions=""854:480"" data-page-url=""https://youtu.be/5AgCLanGSak""><div><iframe allowfullscreen=""true"" frameborder=""0"" scrolling=""no"" src=""https://www.youtube.com/embed/5AgCLanGSak"" title=""Crossing the River by Feeling the Stones - Simon Wardley""></iframe></div></figure>","We live in a competitive world. That competition forces change. It has always forced change. Change is normal. The question is not whether our organizations will change, that’s a given, but can we see this change before it hits us, do we know where we’re heading or are we simply floating aimlessly being carried by a river? It certainly feels that way sometimes.",,true,Talk,Thu Apr 27 2023 17:00:00 GMT+0000 (Coordinated Universal Time),Thu Apr 27 2023 18:00:00 GMT+0000 (Coordinated Universal Time),simon-wardley,27th,https://discord.com/channels/1073278385750552596/1089960788896260238
Dynamic documents as personal software,dynamic-documents-as-personal-software,63d1cb65192f1d47f0a41cd6,6400979ea272fd097d68f872,Thu Mar 02 2023 12:33:34 GMT+0000 (Coordinated Universal Time),Tue May 23 2023 19:57:43 GMT+0000 (Coordinated Universal Time),Tue May 23 2023 20:05:39 GMT+0000 (Coordinated Universal Time),"<p id="""">Today, personal computing is organized around apps: prefabricated units of software developed by professionals for the masses. How might we reorient computing so that people can deeply tailor software to meet their unique needs?</p><p id="""">‍</p><p id="""">This talk presents Potluck, a research prototype that enables people to start with regular text documents and gradually enrich them into interactive tools for managing recipes, workouts, household chores, and more. I'll show how Potluck represents one step towards a broader vision of personal, malleable software tools that users can reconfigure on the fly.</p><p>‍</p><h4>Watch the full talk below:</h4><figure class=""w-richtext-figure-type-video w-richtext-align-fullwidth"" style=""padding-bottom:56.206088992974244%"" data-rt-type=""video"" data-rt-align=""fullwidth"" data-rt-max-width="""" data-rt-max-height=""56.206088992974244%"" data-rt-dimensions=""854:480"" data-page-url=""https://youtu.be/bJ3i4K3hefI""><div><iframe allowfullscreen=""true"" frameborder=""0"" scrolling=""no"" src=""https://www.youtube.com/embed/bJ3i4K3hefI"" title=""Dynamic documents as personal software - Geoffrey Litt""></iframe></div></figure>","Today, personal computing is organized around apps: prefabricated units of software developed by professionals for the masses. How might we reorient computing so that people can deeply tailor software to meet their unique needs?‍ This talk presents Potluck, a research prototype that enables people to start with regular text documents and gradually enrich them into interactive tools for managing recipes, workouts, household chores, and more. I'll show how Potluck represents one step towards a broader vision of personal, malleable software tools that users can reconfigure on the fly.",,true,Talk,Tue Apr 25 2023 23:10:00 GMT+0000 (Coordinated Universal Time),Wed Apr 26 2023 00:00:00 GMT+0000 (Coordinated Universal Time),geoffrey-litt,25th,https://discord.com/channels/1073278385750552596/1088919270332825731
Fission ODD SDK Workshop,fission-odd-sdk-workshop,63d1cb65192f1d47f0a41cd6,64477416be53ba8278984e59,Tue Apr 25 2023 06:32:54 GMT+0000 (Coordinated Universal Time),Tue May 23 2023 12:59:42 GMT+0000 (Coordinated Universal Time),Tue May 23 2023 13:00:15 GMT+0000 (Coordinated Universal Time),"<p id="""">During the Fission workshop we'll build a web app to search and collect integer sequences from the On-line Encyclopedia of Integer Sequences (<a href=""https://oeis.org/"" target=""_blank"" id="""">https://oeis.org/</a>).</p><p>‍</p><p id="""">The app will use the Fission <a href=""http://odd.dev"" id="""">ODD SDK</a> to store sequences both locally and on IPFS.We've prepared this workshop to be accessible for a wide range of skill levels. We encourage you to come and join us, even if you don't write code in your day-to-day. We do have one ask. You will need node, git, and a code editor installed on your laptop. We ask that you install these before the workshop.</p><p>‍</p><p id="""">See the Preparation section of this post for more details: <a href=""https://github.com/oddsdk/odd-app-template/discussions/124"" target=""_blank"" id="""">https://github.com/oddsdk/odd-app-template/discussions/124</a></p><p id="""">‍</p>",We'll use ODD SDK build a web app to search and collect integer sequences from the On-line Encyclopedia of Integer Sequences.,,false,Workshop,Tue Apr 25 2023 20:30:00 GMT+0000 (Coordinated Universal Time),,brian; james-walker,25th,
Holistic Local First Software On The P2P Web,holistic-local-first-software-on-the-p2p-web,63d1cb65192f1d47f0a41cd6,64110f95351c8fc233bf7eb5,Wed Mar 15 2023 00:21:41 GMT+0000 (Coordinated Universal Time),Tue May 23 2023 19:56:24 GMT+0000 (Coordinated Universal Time),Tue May 23 2023 20:05:39 GMT+0000 (Coordinated Universal Time),"<p id="""">This talk will cover how peer to peer protocols, mesh networks, cooperative governance and the web can be combined together to form a new foundation for how technology can serve communities.</p><p>‍</p><h4>Watch the full talk below:</h4><figure class=""w-richtext-figure-type-video w-richtext-align-fullwidth"" style=""padding-bottom:56.206088992974244%"" data-rt-type=""video"" data-rt-align=""fullwidth"" data-rt-max-width="""" data-rt-max-height=""56.206088992974244%"" data-rt-dimensions=""854:480"" data-page-url=""https://youtu.be/rSvj_NQ5rho""><div><iframe allowfullscreen=""true"" frameborder=""0"" scrolling=""no"" src=""https://www.youtube.com/embed/rSvj_NQ5rho"" title=""Holistic Local First Software On The P2P Web - Mauve""></iframe></div></figure>","This talk will cover how peer to peer protocols, mesh networks, cooperative governance and the web can be combined together to form a new foundation for how technology can serve communities.",,true,Talk,Tue Apr 25 2023 22:40:00 GMT+0000 (Coordinated Universal Time),Tue Apr 25 2023 23:10:00 GMT+0000 (Coordinated Universal Time),mauve,25th,https://discord.com/channels/1073278385750552596/1088917851466907738
How To Write A Joke That Will Still Be Funny In Two Thousand Years,how-to-write-a-joke-that-will-still-be-funny-in-two-thousand-years,63d1cb65192f1d47f0a41cd6,640095f760e14057e161259f,Thu Mar 02 2023 12:26:31 GMT+0000 (Coordinated Universal Time),Tue May 23 2023 20:02:40 GMT+0000 (Coordinated Universal Time),Tue May 23 2023 20:05:39 GMT+0000 (Coordinated Universal Time),"<p id="""">I come from a centuries-old village, that is part of a millennia-old culture, that is nestled within a million-year-old mountain range on the western coast of The Levant. I am stressed out that the Macromedia Flash games I made as a teenager no longer run after twenty short years.</p><p id="""">‍</p><p id="""">Building systems that are long-lived and useful is hard to do, but I worry we’ve stopped trying. Or, worse, that we’ve never really been able to try at all. In the face of accelerating climate collapse and a rapidly destabilizing world the stakes for the future of computing and what it could offer humanity have never been higher. Yet all around us is planned obsolescence, short-term thinking, brittleness, ephemerality, waste. We intuit that a better world is possible, yet simultaneously seem trapped by, to quote the late Joe Armstrong, “The Mess We’re In” without understanding why.</p><p id="""">‍</p><p id="""">I’ve spent the past few years researching the cultural baggage of computing and organizing alternative models of software labor. This talk builds on that experience to explore what a robust and sustainable future of our craft might look like and steps we can take in those directions today. We’ll look outside the industry and its established schools of thought to begin to appreciate exactly why such a future is so hard to build, what forces constrain and direct our action and imagination, and what we have to change about ourselves and our world in order to transcend.</p><p>‍</p><h4>Watch the full talk below:</h4><figure class=""w-richtext-figure-type-video w-richtext-align-fullwidth"" style=""padding-bottom:56.206088992974244%"" data-rt-type=""video"" data-rt-align=""fullwidth"" data-rt-max-width="""" data-rt-max-height=""56.206088992974244%"" data-rt-dimensions=""854:480"" data-page-url=""https://youtu.be/3DZTjOsioSA""><div><iframe allowfullscreen=""true"" frameborder=""0"" scrolling=""no"" src=""https://www.youtube.com/embed/3DZTjOsioSA"" title=""How To Write A Joke That Will Still Be Funny In Two Thousand Years - Ramsey Nasser""></iframe></div></figure>","I’ve spent the past few years researching the cultural baggage of computing and organizing alternative models of software labor. This talk builds on that experience to explore what a robust and sustainable future of our craft might look like and steps we can take in those directions today. We’ll look outside the industry and its established schools of thought to begin to appreciate exactly why such a future is so hard to build, what forces constrain and direct our action and imagination, and what we have to change about ourselves and our world in order to transcend.",,true,Talk,Thu Apr 27 2023 22:30:00 GMT+0000 (Coordinated Universal Time),Thu Apr 27 2023 23:30:00 GMT+0000 (Coordinated Universal Time),ramsey-nasser,27th,https://discord.com/channels/1073278385750552596/1089970398185144481
Idris 2: Quantitative Types in Action,idris-2-quantitative-types-in-action,63d1cb65192f1d47f0a41cd6,6411721c8fed60beeba1d7aa,Wed Mar 15 2023 07:22:04 GMT+0000 (Coordinated Universal Time),Tue May 23 2023 19:54:17 GMT+0000 (Coordinated Universal Time),Tue May 23 2023 20:05:39 GMT+0000 (Coordinated Universal Time),"<p id="""">Idris is a functional programming language with first-class types, which means that properties can be stated and verified at compile time. It encourages interactive type-driven development, so that programming becomes a conversation with the machine. We have recently been implementing a new version, Idris 2, with a new core language based on Quantitative Type Theory (QTT). Idris 2 therefore supports linear types, allowing programmers to be precise not only about *what* a program can do, but also *when* it is allowed to do it.</p><p id="""">‍</p><p id="""">In this talk I will cover recent developments in Idris 2. In particular, I will describe how the quantities in the type system give a new level of expressivity, and show how these can be used to implement state machines, communicating systems, and verify their properties, interactively.</p><p>‍</p><p>Watch the full talk below:</p><figure class=""w-richtext-figure-type-video w-richtext-align-fullwidth"" style=""padding-bottom:56.206088992974244%"" data-rt-type=""video"" data-rt-align=""fullwidth"" data-rt-max-width="""" data-rt-max-height=""56.206088992974244%"" data-rt-dimensions=""854:480"" data-page-url=""https://youtu.be/0uA-tKR6Ah4""><div><iframe allowfullscreen=""true"" frameborder=""0"" scrolling=""no"" src=""https://www.youtube.com/embed/0uA-tKR6Ah4"" title=""Idris 2: Quantitative Types in Action - Edwin Brady""></iframe></div></figure>","In this talk I will cover recent developments in Idris 2. In particular, I will describe how the quantities in the type system give a new level of expressivity, and show how these can be used to implement state machines, communicating systems, and verify their properties, interactively.",,true,Talk,Wed Apr 26 2023 21:00:00 GMT+0000 (Coordinated Universal Time),Wed Apr 26 2023 22:00:00 GMT+0000 (Coordinated Universal Time),edwin-brady,26th,https://discord.com/channels/1073278385750552596/1088924894672195655
Indigitalization: Indigenous Computing Theory,indigitalization-indigenous-computing-theory,63d1cb65192f1d47f0a41cd6,63f678732b2aa13c4a829aa3,Wed Feb 22 2023 20:17:55 GMT+0000 (Coordinated Universal Time),Tue May 23 2023 20:04:06 GMT+0000 (Coordinated Universal Time),Tue May 23 2023 20:05:39 GMT+0000 (Coordinated Universal Time),"<p id="""">This presentation explores how Indigenous cultural knowledge can be used as a framework for computing science and computer programming. First, this conversation introduces decolonial computing and some of the problems with “culture-agnostic” or “culture-neutral” computing initiatives. It then proposes an Indigenization of computer science to disrupt established western design principles in computing by focusing on culturally-specific interfacing in digital technologies and computer programming.</p><p id="""">‍</p><p id="""">Specifically, this presentation uses examples from a Plains Cree (nehiyaw) worldview to Indigenize computing theory for software and hardware development that make technologies more culturally relevant, inclusive, accessible, and fair for everyone.</p><p>‍</p><h4>Watch the full talk below:</h4><figure class=""w-richtext-figure-type-video w-richtext-align-fullwidth"" style=""padding-bottom:56.206088992974244%"" data-rt-type=""video"" data-rt-align=""fullwidth"" data-rt-max-width="""" data-rt-max-height=""56.206088992974244%"" data-rt-dimensions=""854:480"" data-page-url=""https://youtu.be/SWVLwxwcl1Q""><div><iframe allowfullscreen=""true"" frameborder=""0"" scrolling=""no"" src=""https://www.youtube.com/embed/SWVLwxwcl1Q"" title=""Indigitalization: Indigenous Computing Theory - Jon Corbett""></iframe></div></figure>","This presentation explores how Indigenous cultural knowledge can be used as a framework for computing science and computer programming. First, this conversation introduces decolonial computing and some of the problems with “culture-agnostic” or “culture-neutral” computing initiatives. It then proposes an Indigenization of computer science to disrupt established western design principles in computing by focusing on culturally-specific interfacing in digital technologies and computer programming. Specifically, this presentation uses examples from a Plains Cree (nehiyaw) worldview to Indigenize computing theory for software and hardware development that make technologies more culturally relevant, inclusive, accessible, and fair for everyone.",,true,Talk,Thu Apr 27 2023 21:00:00 GMT+0000 (Coordinated Universal Time),Thu Apr 27 2023 22:00:00 GMT+0000 (Coordinated Universal Time),jon-corbett,27th,https://discord.com/channels/1073278385750552596/1089968013903663156
